Statement,Code,Score,Score_v2,strict_score,lenient_score
"Ability to extract, prepare, and model large and complex data sets using machine learning theory, mathematics, statistics, and programming skills.",A6.B.0.w.27932,0.591,0.635,0.0,0.635
"Proficient in project management, data analysis, and technical leadership across multiple domains, including agile methodologies and cross-functional collaboration, while maintaining attention to detail and effective stakeholder communication in varied environments.",A6.A.17.f.13943,0.651,0.297,0.0,0.0
"Demonstrates meticulous attention to detail and accuracy in data analysis, documentation, reporting, and compliance to ensure quality and integrity.",A6.G.2.b.13649,0.687,0.287,0.0,0.0
"Generates advanced data models for teams using firm-wide tooling, linear algebra, statistics, and geometrical algorithms.",A6.F.6.a.26558,0.618,0.598,0.598,0.598
"Independently applies a wide range of methods and practices in quality control and assurance, including statistical analysis, control and sampling, and quality data analysis to determine contractor compliance.",A6.C.7.g.10306,0.549,0.122,0.0,0.0
"Uphold high ethical standards, data integrity, and compliance in data collection, analysis, and reporting, ensuring robust practices in data science and machine learning while securing sensitive information.",A6.G.2.k.16429,0.66,0.372,0.0,0.0
"Develop and evaluate transportation planning methods, models, and program techniques or strategies.",A6.F.1.c.16243,0.394,0.367,0.0,0.367
"Ability to translate customer requirements and insights into actionable data science solutions, technical specifications, and product features.",A6.F.10.g.23302,0.664,0.53,0.0,0.0
Expertise in building machine learning models through all phases of development while effectively translating complex insights from large data sets into actionable business goals.,A6.A.14.h.24096,0.543,0.546,0.0,0.546
"Support continuous improvement initiatives through data analysis, process optimization, and the implementation of best practices across operational workflows.",A6.E.6.k.19241,0.709,0.445,0.0,0.0
"Ability to document projects by outlining business objectives, data gathering and processing methods, and detailed analytical results and metrics.",A6.B.2.z.13418,0.595,0.279,0.0,0.0
"Recommend improvements to data collection, processing, management, and reporting processes to enhance accuracy, efficiency, and effectiveness.",A6.C.9.d.21605,0.672,0.496,0.0,0.0
"Proficient in making high-level architectural and design choices for software structure, focusing on manageability, scalability, usability, resiliency, availability, security, and safety.",A6.G.0.p.18420,0.651,0.425,0.0,0.0
"Research and implement state-of-the-art technologies using foundation models, prompt engineering, Retrieval Augmented Generation (RAG), graphs, multi-agent architectures, and classical machine learning techniques.",A6.J.3.d.25170,0.649,0.567,0.567,0.567
Ability to create data tools for analytics and data science teams to build and optimize healthcare products and innovative solutions.,A6.F.10.h.17777,0.52,0.409,0.0,0.0
"Ability to drive end-to-end machine learning and applied science projects, managing high levels of ambiguity, scale, and complexity.",A6.J.7.i.23303,0.618,0.53,0.53,0.53
"Capable of building critical infrastructure for deploying machine learning architectures on embedded devices, optimizing models, and developing compilers, runtimes, and debugging tools for model improvement.",A6.J.13.e.25917,0.582,0.583,0.583,0.583
"Proficient in scripting languages such as Perl, Tcl, Python, and Make, along with automation methods and algorithms.",A6.K.1.a.17160,0.611,0.393,0.0,0.0
"Proficient in developing, debugging, and maintaining code for data pipelines and workflows in a large corporate environment using modern programming and database querying languages.",A6.F.8.e.19778,0.646,0.458,0.0,0.0
"Proficient in data analysis to effectively solve problems in complex, fast-moving, and ambiguous business environments using strong data intuition and business acumen.",A6.B.6.c.25918,0.614,0.583,0.0,0.0
"Ability to recommend improvements and optimizations for processes, methods, and technology solutions to enhance operations and efficiency.",A6.C.9.d.15977,0.679,0.359,0.0,0.359
Applies machine learning techniques to validate assumptions and predict future behavior.,A6.J.11.e.29286,0.69,0.694,0.0,0.694
"Possesses expertise in computer science with program management skills and practical industry experience across the technology stack, including modern web, AI, ML, Big Data, and various database technologies.",A6.A.3.c.21036,0.672,0.485,0.0,0.485
"Ability to analyze data sets using IoT, machine learning, and artificial intelligence to uncover insights and drive decision-making.",A6.J.1.b.25352,0.572,0.571,0.0,0.571
"Demonstrate familiarity with supply chain management concepts, processes, systems, and logistics.",A6.A.13.u.10704,0.589,0.159,0.0,0.159
Ability to effectively convey complex technical and analytical concepts clearly and concisely to non-technical stakeholders through various communication methods.,A6.H.2.a.11826,0.701,0.219,0.0,0.0
"Follows ""lights on"" procedures to verify the integrity of collected data and complete the data collection process, including repeating physiological and instrument calibrations and instructing patients on completing questionnaires.",A6.G.2.e.11727,0.579,0.215,0.0,0.0
"Proficient in data science and analysis with a Master's degree in a related field and expertise in Business Intelligence tools and scripting languages such as SQL, Python, and R, complemented by relevant industry experience.",A6.B.8.d.17730,0.379,0.408,0.0,0.0
"Ability to deconstruct complex problems into components and solve them using data analysis, process knowledge, and risk/control knowledge, while communicating findings and recommendations with transparency and integrity.",A6.H.2.c.15247,0.584,0.339,0.0,0.0
"Commission and troubleshoot industrial automation and control systems, including robotics solutions and SCADA/PLC integration.",A6.G.4.j.18101,0.71,0.417,0.0,0.0
"Develops highly scalable classifiers and tools using machine learning, statistics, regression, and rules-based or mathematical models.",A6.C.4.p.28682,0.566,0.662,0.0,0.662
"Ability to support, train, and validate machine learning models on structured and unstructured data, including imagery, text, and graphs, while providing technical guidance.",A6.J.11.j.27866,0.635,0.633,0.0,0.633
"Possess knowledge of commonly used concepts, practices, and procedures in computer science and various specialized fields.",A6.A.15.s.23855,0.646,0.541,0.0,0.0
"Ability to develop and implement innovative products and services utilizing machine learning, deep learning, and various language and vision technologies to enhance customer experience.",A6.J.4.i.23353,0.593,0.531,0.531,0.531
"Ability to lead high-visibility, cross-functional teams, partnering with senior leadership and collaborating with diverse business functions to drive impactful strategies and optimize processes.",A6.L.0.b.10580,0.615,0.148,0.0,0.0
"Proficient in developing highly scalable classifiers and tools using machine learning, statistics, regression, and rules-based models.",A6.A.10.b.27188,0.605,0.614,0.0,0.614
"Expertise in advanced analytics and machine learning to analyze financial data, support decision-making, and drive strategic initiatives through collaboration with cross-functional teams.",A6.D.0.ab.20908,0.541,0.482,0.0,0.0
"Proficient in various analyst and engineering roles, focusing on user support, data management, system operations, security, and algorithm development.",A6.C.7.c.21293,0.535,0.49,0.0,0.0
"Ability to modify data collection methods, identify and resolve data quality issues, and create or modify data queries.",A6.G.2.i.22706,0.492,0.518,0.0,0.0
Design and develop use-case scenarios for a big data ecosystem.,A6.G.0.o.22226,0.585,0.508,0.0,0.508
Design and analyze use-case scenarios within a big data ecosystem.,A6.G.0.o.23406,0.605,0.532,0.0,0.532
Ability to formulate and define system scope and objectives for data science projects while preparing detailed specifications and fostering communication between business leaders and IT.,A6.F.5.b.15315,0.543,0.341,0.0,0.0
"Utilize dbt, Spark, containers, DevOps tooling, orchestration tools, and Git for data management and orchestration.",A6.C.4.u.20425,0.655,0.472,0.0,0.0
"Proficient in interpersonal, communication, teamwork, and organizational skills for effective collaboration and influence.",A6.H.3.g.10215,0.714,0.105,0.0,0.0
"Perform data analysis and project management in various functional areas, including healthcare, facilities, public administration, and compliance.",A6.A.17.f.19857,0.549,0.46,0.0,0.0
Ability to independently recognize and match patterns in computer science to make informed architectural decisions in production systems.,A6.G.0.c.23191,0.601,0.528,0.0,0.0
"Expertise in following and enforcing best practices in software development, data engineering, data science, and data governance to ensure quality, consistency, and security in coding, analysis, storage, and integration of data and algorithms.",A6.G.2.g.18909,0.594,0.437,0.0,0.0
"Demonstrates ability to follow and apply best practices and protocols in engineering, data collection, data analysis, software development, and quality control across various methodologies while ensuring compliance and accuracy.",A6.G.2.f.15585,0.617,0.348,0.0,0.0
Develop automated techniques for the design and evaluation of AI agents and analyze usage data to improve the effectiveness of AI solutions.,A6.F.6.e.29441,0.433,0.706,0.706,0.706
Utilizes machine learning and software engineering best practices to ensure a high standard of quality for all team deliverables.,A6.C.10.j.19077,0.588,0.441,0.0,0.441
Passionate about identifying opportunities and solutions through creative data analysis and modeling.,A6.D.0.au.25818,0.678,0.581,0.0,0.0
"Demonstrates flexibility and adaptability by effectively responding to varying work hours, shifts, and demands, including evenings, weekends, and travel as required.",A6.H.0.b.10032,0.651,0.045,0.0,0.0
"Proficient in monitoring and optimizing application performance, ensuring compliance, and evaluating program operations across various project plans and inventory management.",A6.E.5.j.14055,0.603,0.301,0.0,0.0
"Proficient in utilizing message queuing, stream processing, and highly scalable big data data stores for manipulating and extracting value from large datasets.",A6.E.0.g.25062,0.663,0.565,0.0,0.0
"Provides a range of products within a cloud data platform that enable data engineers and data scientists to extract intelligence from structured, semi-structured, and unstructured data.",A6.F.8.k.22979,0.535,0.524,0.0,0.0
"Recommend improvements and solutions for data collection, analysis, processes, and technology integration to enhance operational efficiency and effectiveness.",A6.C.9.d.19194,0.659,0.444,0.0,0.0
Ability to recommend and implement operational improvements based on data analysis and insights.,A6.C.9.j.21190,0.651,0.488,0.0,0.0
Ability to create comprehensive documentation that enables stakeholders to understand and replicate the data analysis process.,A6.F.8.d.18016,0.555,0.415,0.0,0.0
"Ability to contribute to continuous improvement initiatives in data engineering, AI, machine learning, and analytical processes by optimizing practices and methodologies across various organizational functions.",A6.E.6.d.20515,0.625,0.474,0.0,0.474
"Proficient in data analysis, Excel, and presentation tools with experience mentoring and collaborating in technical environments, combined with strong communication and organizational skills.",A6.C.3.e.14902,0.484,0.329,0.0,0.0
Ability to prepare documentation and test articles utilizing data analysis to communicate strategic recommendations effectively.,A6.A.5.m.17090,0.627,0.391,0.0,0.0
Ability to adapt and develop machine learning methods for optimal performance in modern parallel environments.,A6.J.3.d.28152,0.741,0.642,0.642,0.642
"Ability to collaborate and consult with colleagues, managers, and regulators to resolve data engineering issues and achieve strategic goals.",A6.H.5.c.20363,0.61,0.471,0.0,0.0
Oversees software development teams to ensure project completion aligns with the constraints of the software development process in use.,A6.L.1.j.12032,0.498,0.227,0.0,0.0
"Holds directorial roles across various management areas including product technical program management, engineering, research operations, data science, and strategic partnerships.",A6.H.0.d.13714,0.546,0.289,0.0,0.0
"Ability to develop and deliver communication and education plans on data engineering and analytic capabilities, standards, and processes.",A6.F.3.d.22381,0.635,0.511,0.0,0.0
"Ability to analyze data, provide technical assistance, and conduct compliance reviews while performing data collection and monitoring activities.",A6.B.2.z.17091,0.632,0.391,0.0,0.0
"Expertise in delivering advanced data science technologies and operations research to design, build, and maintain scalable solutions for data unification and analysis across diverse client needs.",A6.A.14.h.24613,0.421,0.556,0.0,0.0
"Proficient in data analysis and visualization using various tools, with the ability to analyze and interpret complex data sets.",A6.A.7.d.22836,0.613,0.521,0.0,0.0
"Proven ability to publish papers and achieve results in top conferences related to machine learning, computer vision, and computer graphics, such as CVPR, ICCV, ECCV, and NeurIPS.",A6.A.16.c.22163,0.674,0.507,0.0,0.0
"Ability to create reliable, scalable, and high-performance software products through technical expertise and understanding of computer science fundamentals, supported by practical experience in building large-scale distributed systems.",A6.G.0.c.18592,0.652,0.429,0.0,0.0
"Proficient in data science and machine learning with expertise in optimization models, programming in Python, Spark, Scala, or R, and knowledge of web accessibility standards, supported by advanced degrees and relevant industry experience.",A6.A.16.b.18701,0.571,0.432,0.0,0.0
"Maintain services and storage infrastructure once live by measuring and monitoring availability, latency, and overall system health.",A6.E.3.b.12486,0.635,0.245,0.0,0.0
Ability to apply algorithms and core computer science concepts to real-world systems by recognizing and matching patterns from various or diverse areas of computer science in production environments.,A6.A.3.b.24773,0.58,0.559,0.0,0.0
Advanced ability to collect and expand databases using methods such as data mining and documentation study.,A6.B.7.c.23695,0.636,0.538,0.0,0.0
"Proficient in providing technical assistance, guidance, and customer service, including support for GIS techniques and consultative services.",A6.G.6.k.13747,0.606,0.29,0.0,0.0
"Ability to establish scalable, efficient, automated processes for large-scale data analysis, machine learning model development, validation, and serving, while ensuring data integrity and communicating insights to non-technical stakeholders.",A6.J.13.c.22107,0.64,0.506,0.0,0.0
"Ability to evaluate changes, develop operational efficiency recommendations, assess compliance, and provide training and performance feedback.",A6.F.3.d.12926,0.606,0.261,0.0,0.0
"Proven ability to solve challenging and transformational data science and analytics problems at scale, utilizing mathematical and deductive reasoning.",A6.G.6.a.28846,0.607,0.669,0.0,0.669
"Ability to process, cleanse, and verify the integrity of data for advanced statistical analyses, modeling, and experimentation.",A6.C.4.e.22837,0.607,0.521,0.0,0.0
"Passionate about solving complex problems, real-time event processing, and building scalable software solutions, including effective analytics for stakeholder management.",A6.G.6.a.18284,0.639,0.421,0.0,0.0
"Willingness and ability to travel domestically and internationally for project work, meetings, and data collection in various health care settings.",A6.H.0.i.10038,0.637,0.049,0.0,0.0
"Maintain expertise in data engineering and software engineering concepts with over 5 years of applied experience, focusing on algorithms, model deployment, and programming languages like Python and Java.",A6.A.9.b.21662,0.598,0.497,0.0,0.0
Possess formal training or certification in software engineering concepts and 5+ years of applied experience in Python programming.,A6.A.19.g.14056,0.604,0.301,0.0,0.0
"The ability to apply algorithms and fundamental computer science concepts to real-world systems by recognizing and matching patterns across various areas, including production environments.",A6.A.3.b.23598,0.592,0.536,0.0,0.0
Manage and oversee product design and development processes across various roles in product design engineering.,A6.L.3.d.12896,0.545,0.26,0.0,0.0
"Proficient in data analysis and data science, with a strong focus on leveraging automation, machine learning, and artificial intelligence to uncover insights from complex datasets.",A6.B.0.o.29390,0.573,0.702,0.0,0.702
"Willingness to stay updated with the latest trends, technologies, and advancements in data engineering, AI, machine learning, automation, and industry best practices.",A6.J.2.s.19677,0.636,0.455,0.0,0.455
Willingness to stay current with emerging data science tools and learn new statistical techniques.,A6.J.2.s.24402,0.614,0.552,0.0,0.552
"Obtain formal training or certification in software engineering, machine learning, data engineering, data governance, cybersecurity, and data architecture, along with 10+ years of applied experience.",A6.A.19.g.19415,0.613,0.449,0.0,0.0
"Manage various product-related responsibilities including operations, support, software engineering, technical program management, validation, risk and compliance, marketing, quality, content, security, and growth analysis.",A6.G.6.k.10661,0.503,0.155,0.0,0.0
Manage various product marketing and management responsibilities across multiple domains and applications.,A6.C.10.r.16010,0.498,0.36,0.0,0.0
"Demonstrates an understanding of statistical analysis techniques, including regression, anomaly detection, and clustering.",A6.B.5.c.26109,0.682,0.587,0.0,0.587
"Possess formal training or certification in data engineering or software engineering concepts, along with 2+ years of applied experience.",A6.A.19.g.18593,0.612,0.429,0.0,0.0
"Completed college-level coursework in research methods, data analysis, statistics, and data collection, demonstrating expertise in various analytical and research-related skills.",A6.B.5.b.16389,0.582,0.371,0.0,0.0
"Proficient in technical writing, report writing, and business writing through college-level coursework and training.",A6.A.21.e.11047,0.568,0.181,0.0,0.0
"Expertise in applying machine learning algorithms to large sets of structured and unstructured data for solving problems in pattern recognition, target detection, tracking, decision support systems, and robotics.",A6.J.7.e.29564,0.607,0.72,0.72,0.72
"Ability to effectively communicate and collaborate with diverse, cross-functional teams and stakeholders, conveying technical information clearly to both technical and non-technical audiences.",A6.H.4.a.10727,0.644,0.161,0.0,0.0
Enjoys analyzing and interpreting complex data while collaborating with others.,A6.D.0.s.28628,0.68,0.66,0.0,0.66
Manage and maintain NFS storage systems.,A6.C.8.e.15850,0.67,0.355,0.0,0.0
"Ability to interface with technology teams to extract, transform, and load data from various sources using cloud-native data engineering principles and AWS technologies.",A6.F.8.h.20811,0.605,0.48,0.0,0.0
"Proficient in designing, building, and optimizing infrastructure for data extraction, transformation, and loading (ETL) from various sources using SQL, Python, and AWS big data technologies.",A6.A.14.b.20469,0.526,0.473,0.0,0.0
"Manages day-to-day administration, operations, and reporting processes across various data collection systems and projects, ensuring optimal efficiency and delivery of results.",A6.C.10.m.26197,0.637,0.589,0.0,0.0
"Proficient in data modeling, analysis, collection, governance, visualization, and reporting, including tasks such as verifying data accuracy and data migration.",A6.A.14.j.21505,0.611,0.494,0.0,0.0
"Proficient in data analysis techniques, capable of resolving missing or incomplete information and addressing inconsistencies or anomalies in complex research or data.",A6.A.14.r.25353,0.646,0.571,0.0,0.0
Enjoys innovating and improving processes through collaboration and data analysis on impactful projects.,A6.E.1.b.20055,0.678,0.464,0.0,0.0
"Proficiency in data science specializations, including optimization, computer vision, recommendation systems, search, and natural language processing (NLP), with the ability to present insights to non-technical audiences.",A6.A.16.c.27867,0.61,0.633,0.0,0.633
"Availability for after-hours and weekend support, including installation, incident management, and crisis response for IT services.",A6.G.6.k.12242,0.659,0.236,0.0,0.0
"Proficient in defining and executing duties and responsibilities related to mission and track planning, data management, and protocol oversight.",A6.G.5.h.14936,0.688,0.33,0.0,0.0
"Proven ability to drive quality and deliver complex cross-functional projects through collaboration, data analysis, machine learning, and effective leadership in data engineering and analytics.",A6.I.0.g.21448,0.595,0.493,0.493,0.493
"Proven ability to code using at least one programming language, such as Java or Python, with a strong track record of experience.",A6.K.1.a.16746,0.628,0.381,0.0,0.0
"Willingness to work flexible hours, including evenings, weekends, and holidays, in various environments such as onsite, lab, or remote settings, and adapt to dynamic and collaborative situations.",A6.H.0.b.10005,0.63,0.021,0.0,0.0
"Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with meticulous attention to detail and accuracy.",A6.B.3.f.15653,0.609,0.35,0.0,0.0
Possess formal training or certification in computer science or software engineering concepts along with 3+ years of applied experience.,A6.A.19.g.15778,0.598,0.353,0.0,0.0
Obtain formal training or certification in software engineering concepts with 3+ years of applied experience.,A6.A.19.g.12710,0.598,0.253,0.0,0.0
"Proficient in oral and written communication, capable of conveying complex technical concepts clearly to diverse audiences and presenting data analysis effectively.",A6.H.4.b.18467,0.628,0.426,0.0,0.0
"Possesses 8-10 years of experience in data analysis, data engineering, and data science, with a focus on algorithm design, statistical analysis, and machine learning, alongside relevant product management and technical leadership skills.",A6.A.20.b.24909,0.603,0.562,0.0,0.0
"Ability to prepare reports and presentations by collecting, analyzing, and summarizing data and trends for review by stakeholders.",A6.D.0.s.13583,0.631,0.285,0.0,0.0
"Ability to prepare reports by collecting, analyzing, and summarizing data and trends to provide recommendations based on the analysis.",A6.C.4.w.16645,0.63,0.378,0.0,0.0
"Has over five years of experience in operating and using equipment and software related to photogrammetry, lidar, engineering surveys, and GIS.",A6.A.15.r.16204,0.558,0.366,0.0,0.0
"Proficient in using and operating equipment and software for photogrammetry, lidar, engineering surveys, and GIS, with experience in training others in these processes.",A6.A.15.r.14968,0.486,0.331,0.0,0.0
"Proficient in navigating complex technology environments to locate, validate, extract, and format data for analysis and testing.",A6.B.6.f.22610,0.671,0.516,0.0,0.0
"Well-developed critical thinking and problem-solving skills to analyze research and testing results, data collation, and apply technical knowledge to identify effective and economical solutions for project objectives.",A6.B.0.a.12377,0.59,0.241,0.0,0.0
"Exceptional oral and written communication skills with the ability to convey complex technical concepts clearly to diverse audiences, including proficiency in presentation, documentation, and stakeholder engagement.",A6.H.2.d.10764,0.651,0.164,0.0,0.0
"Ability to perform data analysis by creating and executing complex queries, interpreting results, and communicating findings to technical and non-technical audiences.",A6.C.4.w.24053,0.621,0.545,0.0,0.0
"Willingness and ability to travel domestically and internationally for project assignments, client meetings, and business development activities.",A6.H.0.i.10006,0.623,0.021,0.0,0.0
"Willingness to travel for field tests, client engagements, equipment deployment, and various work-related activities both domestically and internationally.",A6.H.0.i.10216,0.611,0.105,0.0,0.0
"Proven ability to build, deploy, and optimize machine learning models and infrastructure in production environments, including maintaining APIs and leveraging generative AI technologies.",A6.J.11.j.28961,0.709,0.674,0.674,0.674
"Proven ability to build and lead high-performing teams, develop and deploy data-driven solutions, and optimize processes and systems in complex environments.",A6.L.0.f.16707,0.642,0.38,0.0,0.0
"Manage and oversee engineering projects by applying systems engineering principles to design, develop, test, and evaluate complex warfare systems, ensuring compliance with technical standards and resource requirements.",A6.G.6.j.13086,0.559,0.267,0.0,0.0
"Ensure seamless integration of AI solutions, models, and components with existing systems, infrastructures, and business processes.",A6.J.2.h.29313,0.731,0.696,0.0,0.696
"Ensure seamless integration of data science solutions, systems, and applications across the organization while maintaining data consistency and supporting performance reporting.",A6.E.4.d.18785,0.67,0.434,0.0,0.0
"Proficient in executing data science methodologies using programming languages such as Python, Java, Scala, and R, with extensive experience in data analysis to craft compelling narratives.",A6.B.7.e.28006,0.485,0.637,0.0,0.0
"Develops and uses advanced software programs, algorithms, querying, and automated processes to cleanse, integrate, and evaluate datasets while modeling complex business problems.",A6.F.1.e.25011,0.643,0.564,0.0,0.564
"Possesses a high level of accuracy and attention to detail in data analysis, entry, and reporting.",A6.G.2.u.17466,0.635,0.401,0.0,0.0
"Demonstrates high attention to detail and accuracy in data analysis, reporting, and documentation, with the ability to manage multiple priorities effectively.",A6.G.2.u.16311,0.698,0.369,0.0,0.0
"Has 8 years of experience in machine learning, data science, and machine vision applications, including model optimization and video processing tools.",A6.A.22.d.25012,0.71,0.564,0.0,0.564
"Skilled in providing technical data analysis for vehicle quality issues, developing machine learning models and software systems for enhanced inspection accuracy, and leading complex data integration and pipeline development while mentoring team members on data analysis and root cause resolution.",A6.J.6.i.20696,0.475,0.478,0.0,0.0
"Has at least one year of experience in data modeling, data analysis using Power BI or similar tools, engineering documentation, project management, budget management, programming in various languages, and leadership roles.",A6.A.7.d.16430,0.657,0.372,0.0,0.0
"Possesses a strong passion for technology, including computer vision, drones, data utilization, and continuous process improvement.",A6.B.0.r.18017,0.676,0.415,0.0,0.415
"Ability to foster a culture of continuous learning, innovation, collaboration, and improvement across teams through data-driven practices, accountability, and the adoption of best practices.",A6.H.6.b.12663,0.67,0.251,0.0,0.251
"Proficient data scientist with technical expertise, a methodical problem-solving approach, and mastery in templating to architect resilient solutions, while fostering a positive and empathetic team environment.",A6.H.5.a.25403,0.563,0.572,0.0,0.0
Detail-oriented with a strong passion for ensuring accuracy and integrity in data analysis.,A6.B.0.c.25452,0.669,0.573,0.0,0.0
"Detail-oriented with a strong focus on accuracy, precision, and integrity in data analysis and management.",A6.B.0.u.22425,0.642,0.512,0.0,0.0
"Has extensive experience in data science, data analysis, data modeling, data engineering, and performance tuning, requiring various levels of expertise across multiple areas within data management and business analysis.",A6.A.14.ac.26157,0.677,0.588,0.0,0.0
"Passion for artificial intelligence, machine learning, and data analysis, with a focus on applications in data science and computer vision.",A6.A.10.a.29325,0.744,0.697,0.0,0.697
Develop and apply mathematics for data analysis and algorithm development in military and missile tracking applications.,A6.F.1.e.17467,0.631,0.401,0.0,0.401
"Detail-oriented with a commitment to accuracy and precision in data analysis, reporting, and documentation.",A6.H.7.c.19078,0.602,0.441,0.0,0.0
"Demonstrates a strong willingness and eagerness to learn new technologies, skills, and disciplines while actively collaborating and taking initiative in various areas.",A6.J.0.k.12954,0.652,0.262,0.0,0.0
"Invent or improve novel data-driven paradigms for robotics and embodied intelligence, utilizing various modalities such as images, video, text, audio, and tactile data, including applications in AR and VR.",A6.J.9.a.21852,0.68,0.501,0.0,0.501
Analyze and debug performance data using systems data analysis and visualization tools.,A6.E.5.a.24505,0.647,0.554,0.0,0.0
"Has 2 years of experience in performance analysis, large-scale systems data analysis, visualization tools, and debugging.",A6.E.5.a.18468,0.634,0.426,0.0,0.0
"Directs and advises on analysis and data mining initiatives to identify, validate, and manage emerging risk exposures.",A6.B.2.z.17161,0.553,0.393,0.0,0.0
Support analytic or machine learning product ownership or technical development in the insurance field with 3 to 5 years of experience.,A6.A.16.b.20192,0.694,0.467,0.0,0.0
"Proficient in determining data collection, integration, and storage methods, along with analyzing computer outputs, financial reports, and roadway testing data using various computer applications.",A6.B.3.d.21802,0.611,0.5,0.0,0.0
"Utilize computer-assisted tools for data analysis and research, including collecting, compiling, and analyzing program and insurance data.",A6.C.11.h.20697,0.618,0.478,0.0,0.0
"Manages technical programs across various domains including communications, network hardware, security, AI, and metaverse technologies.",A6.G.5.g.16490,0.559,0.374,0.374,0.374
