terms,label,EuropaCode
advise others,advise colleagues,T6.2
advise others,advise customers,T4.2
advise others,counsel others,T4.2
advise others,counselling,T4.2
advise others,give advice,T4.2
advise others,give constructive feedback,T4.2
advise others,giving advice to others,T4.2
advise others,guide,T4.2
advise others,make recommendations to others,T4.2
advise others,mentor individuals,T4.2
advise others,mentor others,T4.2
advise others,offer suggestions to others,T4.2
advise others,provide advisory services,T4.2
advise others,advise others,T4.2
advising on workplace health and safety issues,advising and consulting,T4.2
advising on workplace health and safety issues,advising on business or operational matters,S1.5
advising on workplace health and safety issues,advising on design or use of technologies,S1.5
advising on workplace health and safety issues,advising on educational or vocational matters,S1.5
advising on workplace health and safety issues,advising on environmental issues,S1.5
advising on workplace health and safety issues,"advising on legal, regulatory or procedural matters",S1.5
advising on workplace health and safety issues,advising on products and services,S1.5
advising on workplace health and safety issues,providing financial advice,S1.5
advising on workplace health and safety issues,providing medical advice,S1.5
advising on workplace health and safety issues,advise client on technical possibilities,S1.5
advising on workplace health and safety issues,advise customers on new equipment,S1.5
advising on workplace health and safety issues,advise lesson plans,S1.5
advising on workplace health and safety issues,advise on career,S1.5
advising on workplace health and safety issues,advise on efficiency improvements,S1.5
advising on workplace health and safety issues,advise on environmental remediation,S1.5
advising on workplace health and safety issues,advise on investment,S1.5
advising on workplace health and safety issues,advise on medical device features,S1.5
advising on workplace health and safety issues,advise on personnel management,S1.5
advising on workplace health and safety issues,advise on pollution prevention,S1.5
advising on workplace health and safety issues,advise on rehabilitation exercises,S1.5
advising on workplace health and safety issues,advise on safety improvements,S1.5
advising on workplace health and safety issues,advise on social service process,S1.5
advising on workplace health and safety issues,advise on training,S1.5
advising on workplace health and safety issues,advise on waste management procedures,S1.5
advising on workplace health and safety issues,advising on workplace health and safety issues,S1.5
advising on workplace health and safety issues,explain financial technicalities to clients,S1.5
advising on workplace health and safety issues,explain the molecular basis of a disease to patients,S1.5
advising on workplace health and safety issues,inform on safety standards,S1.5
advising on workplace health and safety issues,managing own career,S1.5
advising on workplace health and safety issues,offer advice on diet related concerns,S1.5
advising on workplace health and safety issues,provide advice on travel destinations,S1.5
advising on workplace health and safety issues,provide assistance with job searchincludes,S1.5
advising on workplace health and safety issues,provide ict consulting advice,S1.5
advising on workplace health and safety issues,provide legal advice,S1.5
allocating and controlling physical resources,allocating and controlling resources,S1.5
allocating and controlling physical resources,managing and administering human resources,S4.3
allocating and controlling physical resources,managing budgets or finances,S4.3
allocating and controlling physical resources,allocating and controlling physical resources,S4.3
allocating and controlling physical resources,control financial resources,S4.3
allocating and controlling physical resources,ensure equipment availability,S4.3
allocating and controlling physical resources,handle external financing,S4.3
allocating and controlling physical resources,manage personnel,S4.3
allocating and controlling physical resources,manage rail yard resources,S4.3
allocating and controlling physical resources,manage revenue,S4.3
allocating and controlling physical resources,manage space utilisation,S4.3
allocating and controlling physical resources,plan shifts of employees,S4.3
apply basic programming skills,use basic coding skills,S4.3
apply basic programming skills,use basic programming language skills,T1.3
apply basic programming skills,use query languages,T1.3
apply basic programming skills,apply basic programming skills,T1.3
apply digital security measures,implement digital security measures,T1.3
apply digital security measures,protect digital devices,T1.3
apply digital security measures,protect ICT devices,T1.3
apply digital security measures,protect personal data,T1.3
apply digital security measures,remove viruses and malware from a computer,T1.3
apply digital security measures,up-date online security measures,T1.3
apply digital security measures,use anti-virus software,T1.3
apply digital security measures,apply digital security measures,T1.3
apply hygiene standards,attend to cleanliness,T1.3
apply hygiene standards,attend to hygiene,T6.1
apply hygiene standards,care for hygiene,T6.1
apply hygiene standards,conform to hygienic work practices,T6.1
apply hygiene standards,follow hygienic work practices,T6.1
apply hygiene standards,identify hygiene risks,T6.1
apply hygiene standards,look after hygiene,T6.1
apply hygiene standards,apply hygiene standards,T6.1
"apply knowledge of philosophy, ethics and religion",act according to ethical and religious values,T6.1
"apply knowledge of philosophy, ethics and religion",apply philosophical school of thoughts,T6.6
"apply knowledge of philosophy, ethics and religion",assess the consequences and impact of ideas,T6.6
"apply knowledge of philosophy, ethics and religion",evaluate the moral and ethical consequences of actions,T6.6
"apply knowledge of philosophy, ethics and religion",follow ethical values and religious believes,T6.6
"apply knowledge of philosophy, ethics and religion","apply knowledge of philosophy, ethics and religion",T6.6
"apply knowledge of science, technology and engineering",carry out measurements,T6.6
"apply knowledge of science, technology and engineering",demonstrate scientific literacy,T6.6
"apply knowledge of science, technology and engineering",demonstrate technical abilities,T6.6
"apply knowledge of science, technology and engineering",take on new technology,T6.6
"apply knowledge of science, technology and engineering","apply knowledge of science, technology and engineering",T6.6
apply knowledge of social sciences and humanities,demonstrate interest in politics,T6.6
apply knowledge of social sciences and humanities,demonstrate knowledge of European history,T6.6
apply knowledge of social sciences and humanities,demonstrate social knowledge,T6.6
apply knowledge of social sciences and humanities,understand the role of social movements in society,T6.6
apply knowledge of social sciences and humanities,apply knowledge of social sciences and humanities,T6.6
appreciate diverse cultural and artistic expression,appreciate artistic expressions,T6.6
appreciate diverse cultural and artistic expression,appreciate cultural heritage,T6.4
appreciate diverse cultural and artistic expression,appreciate diverse cultural and artistic expression,T6.4
appreciate diverse cultural and artistic expression,demonstrate cultural awareness,T6.4
appreciate diverse cultural and artistic expression,have a feeling for aesthetics,T6.4
appreciate diverse cultural and artistic expression,social cultural awareness,T6.4
approach challenges positively,adopt a constructive approach,T6.4
approach challenges positively,keep a positive attitude,T3.3
approach challenges positively,maintain a positive attitude,T3.3
approach challenges positively,show sense of humour,T3.3
approach challenges positively,approach challenges positively,T3.3
assisting and caring,"providing assistance, nurturing, care, service and support to people, and ensuring compliance to rules, standards, guidelines or laws.",T3.3
assisting and supporting co-workers,accepting feedback,S3.0
assisting and supporting co-workers,following instructions and procedures,S1.8
assisting and supporting co-workers,giving feedback,S1.8
assisting and supporting co-workers,giving instructions,S1.8
assisting and supporting co-workers,working in teams,S1.8
assisting and supporting co-workers,working with others,S1.8
assisting and supporting co-workers,accept constructive criticism,S1.8
assisting and supporting co-workers,assist emergency services,T3.4
assisting and supporting co-workers,assist forestry service crew,S1.8
assisting and supporting co-workers,assisting and supporting co-workers,S1.8
assisting and supporting co-workers,collaborate with designers,S1.8
assisting and supporting co-workers,cooperate with colleagues,S1.8
assisting and supporting co-workers,direct airport subcontractors,S1.8
assisting and supporting co-workers,follow a brief,S1.8
assisting and supporting co-workers,follow signalling instructions,S1.8
assisting and supporting co-workers,give constructive feedback,S1.8
assisting and supporting co-workers,give instructions to staff,T4.2
assisting and supporting co-workers,provide feedback on job performance,S1.8
assisting and supporting co-workers,read job ticket instructions,S1.8
assisting and supporting co-workers,support colleagues,S1.8
assisting and supporting co-workers,support managers,S1.8
assisting and supporting co-workers,work in a forestry team,S1.8
assisting and supporting co-workers,work in assembly line teams,S1.8
assisting and supporting co-workers,work in multidisciplinary teams,S1.8
assisting and supporting co-workers,work in shifts,S1.8
assisting people to access services,counselling,S1.8
assisting people to access services,"counselling on personal, family or social issues",T4.2
assisting people to access services,providing support to resolve problems,S3.1
assisting people to access services,assist families in crisis situations,S3.1
assisting people to access services,assisting people to access services,S3.1
assisting people to access services,give advice on personal matters,S3.1
assisting people to access services,help clients cope with grief,S3.1
assisting people to access services,provide victim assistance,S3.1
assisting people to access services,refer service users to community resources,S3.1
assume responsibility,act responsibly,S3.1
assume responsibility,be ready to take on responsibility,T3.2
assume responsibility,be ready to take responsibilities,T3.2
assume responsibility,be responsible,T3.2
assume responsibility,demonstrate a conscientious attitude,T3.2
assume responsibility,demonstrate responsibility,T3.2
assume responsibility,prove sense of responsibility,T3.2
assume responsibility,show responsible behaviour,T3.2
assume responsibility,showing responsibility,T3.2
assume responsibility,assume responsibility,T3.2
attend to detail,attend to accuracy,T3.2
attend to detail,attend to detail,T3.1
attend to detail,attend to details,T3.1
attend to detail,attend to precision,T3.1
attend to detail,attending to details,T3.1
attend to detail,deal with details,T3.1
attend to detail,detail-oriented,T3.1
attend to detail,manage details,T3.1
attend to detail,sort out details,T3.1
attend to detail,to work precisely,T3.1
attend to detail,work carefully,T3.1
attend to detail,work in a proper manner,T3.1
attend to detail,work meticulously,T3.1
attend to detail,attention to detail,T3.1
build networks,building effective relationships,T3.1
build networks,create networks,T4.3
build networks,establish contacts,T4.3
build networks,liaise with others,T4.3
build networks,maintain contact with others,T4.3
build networks,maintain networks,T4.3
build networks,make contacts,T4.3
build networks,show ability to network,T4.3
build networks,build networks,T4.3
build team spirit,arrange team building,T4.3
build team spirit,build teams,T4.4
build team spirit,design team building,T4.4
build team spirit,organise a team,T4.4
build team spirit,plan team building,T4.4
build team spirit,project team building,T4.4
build team spirit,build team spirit,T4.4
building and developing teams,"encouraging team members and building a relationship of mutual trust, respect and cooperation",T4.4
building and developing teams,facilitate teamwork between students,S4.6
building and developing teams,building and developing teams,S4.6
building and developing teams,encourage teambuilding,S4.6
building and developing teams,stimulating teambuilding activities,S4.6
calculate probabilities,estimate the probability of an outcome or fact,S4.6
calculate probabilities,make estimations,T1.2
calculate probabilities,work with probabilities,T1.2
calculate probabilities,calculate probabilities,T1.2
carry out calculations,carry out calculations,T1.2
carry out calculations,carry out work-related calculation,T1.2
carry out calculations,mathematical ability,T1.2
carry out calculations,use numbers,T1.2
carry out calculations,numerical facility,T1.2
carrying out forensic and police investigations,conducting academic or market research,T1.2
carrying out forensic and police investigations,"conducting studies, investigations and examinations",S2.1
carrying out forensic and police investigations,diagnosing health conditions,S2.1
carrying out forensic and police investigations,interpreting technical documentation and diagrams,S2.1
carrying out forensic and police investigations,assess fish health conditions,S2.1
carrying out forensic and police investigations,carrying out forensic and police investigations,S2.1
carrying out forensic and police investigations,conduct literature research,S2.1
carrying out forensic and police investigations,conduct public surveys,S2.1
carrying out forensic and police investigations,diagnose heart conditions,S2.1
carrying out forensic and police investigations,diagnose mental disorders,S2.1
carrying out forensic and police investigations,diagnose nursing care,S2.1
carrying out forensic and police investigations,examine crime scenes,S2.1
carrying out forensic and police investigations,interpret electrical diagrams,S2.1
carrying out forensic and police investigations,interpret medical images,S2.1
carrying out forensic and police investigations,perform drug investigations,S2.1
carrying out forensic and police investigations,read blueprints,S2.1
cleaning outdoor spaces,cleaning,S2.1
cleaning outdoor spaces,cleaning interior and exterior of buildings,S6.11
cleaning outdoor spaces,"cleaning tools, equipment, workpieces and vehicles",S6.11
cleaning outdoor spaces,clean camping facilities,S6.11
cleaning outdoor spaces,clean chimneys,S6.11
cleaning outdoor spaces,clean concrete pumps,S6.11
cleaning outdoor spaces,clean ventilation system,S6.11
cleaning outdoor spaces,cleaning outdoor spaces,S6.11
cleaning outdoor spaces,perform street cleaning manually,S6.11
cleaning outdoor spaces,sterilise fermentation tanks,S6.11
cleaning outdoor spaces,wash vehicles,S6.11
coaching and mentoring,board safety training,S6.11
coaching and mentoring,teaching academic or vocational subjects,S1.3
coaching and mentoring,teaching and training,S1.3
coaching and mentoring,teaching safety procedures,S1.3
coaching and mentoring,training on health or medical topics,S1.3
coaching and mentoring,training on operational procedures,S1.3
coaching and mentoring,assist clients with personal development,S1.3
coaching and mentoring,coach during a sports competition,S1.3
coaching and mentoring,coaching and mentoring,S1.3
coaching and mentoring,demonstrate functionality of software products,S1.3
coaching and mentoring,educate employees on occupational hazards,S1.3
coaching and mentoring,educate patient's relations on care,S1.3
coaching and mentoring,educate public on fire safety,S1.3
coaching and mentoring,give theory lessons to pilots,S1.3
coaching and mentoring,mentor individual employees,S1.3
coaching and mentoring,provide on,S1.3
coaching and mentoring,provide teacher support,S1.3
coaching and mentoring,teach air cabin crew procedures,S1.3
coaching and mentoring,teach basic numeracy skills,S1.3
coaching and mentoring,teach biology,S1.3
coaching and mentoring,teach first aid principles,S1.3
coaching and mentoring,teach industrial arts principles,S1.3
coaching and mentoring,train medical staff on nutrition,S1.3
coaching and mentoring,train operators in using mine machinery,S1.3
coaching and mentoring,train staff in safety procedures,S1.3
collaborating and liaising,advocating for individual or community needs,S1.3
collaborating and liaising,communicating with colleagues and clients,S1.2
collaborating and liaising,developing professional relationships or networks,S1.2
collaborating and liaising,liaising and networking,S1.2
collaborating and liaising,advocate for healthcare users' needs,S1.2
collaborating and liaising,brainstorm ideas,S1.2
collaborating and liaising,collaborating and liaising,S1.2
collaborating and liaising,contact customers,S1.2
collaborating and liaising,contact event speakers,S1.2
collaborating and liaising,develop communication networks with shipping sites,S1.2
collaborating and liaising,develop professional network,S1.2
collaborating and liaising,influence legislators,S1.2
collaborating and liaising,liaise with auditors,S1.2
collaborating and liaising,maintain relationship with suppliers,S1.2
collaborating and liaising,promote service users' rights,S1.2
collecting and preparing specimens or materials for testing,preparing industrial materials for processing or use,S1.2
collecting and preparing specimens or materials for testing,preparing mixtures or solutions,S6.3
collecting and preparing specimens or materials for testing,transforming and blending materials,S6.3
collecting and preparing specimens or materials for testing,blend food ingredients,S6.3
collecting and preparing specimens or materials for testing,collect samples for analysis,S6.3
collecting and preparing specimens or materials for testing,collecting and preparing specimens or materials for testing,S6.3
collecting and preparing specimens or materials for testing,heat jewellery metals,S6.3
collecting and preparing specimens or materials for testing,heat lacquer mixture,S6.3
collecting and preparing specimens or materials for testing,mix construction grouts,S6.3
collecting and preparing specimens or materials for testing,mix paint,S6.3
collecting and preparing specimens or materials for testing,prepare chemical samples,S6.3
collecting and preparing specimens or materials for testing,prepare surface for coating,S6.3
"communication, collaboration and creativity","communicating, collaborating, liaising, and negotiating with other people",S6.3
"communication, collaboration and creativity",composing text or music performing to entertain an audience imparting knowledge to others,S1.0
"communication, collaboration and creativity",creating plans or specifications for the design of objects and systems,S1.0
"communication, collaboration and creativity",developing solutions to problems,S1.0
comply with regulations,adhere to legislation or policies,S1.0
comply with regulations,comply with legislative provisions,T4.5
comply with regulations,follow directions and procedures,T4.5
comply with regulations,work in a thoughtful manner,T4.5
comply with regulations,comply with regulations,T4.5
conduct web searches,look for information on the Internet,T4.5
conduct web searches,search for information online,T1.3
conduct web searches,use search engine,T1.3
conduct web searches,conduct web searches,T1.3
conducting gaming activities,performing and entertaining,T1.3
conducting gaming activities,performing artistic or cultural activities,S1.14
conducting gaming activities,practising sports,S1.14
conducting gaming activities,conduct gambling games,S1.14
conducting gaming activities,conducting gaming activities,S1.14
conducting gaming activities,participate in athletic events,S1.14
conducting gaming activities,participate in physical training,S1.14
conducting gaming activities,perform dance or music,S1.14
conducting gaming activities,perform music in a recording studio,S1.14
conducting gaming activities,perform religious ceremonies,S1.14
conducting gaming activities,perform stunts,S1.14
conducting gaming activities,rehearse performances,S1.14
conducting gaming activities,tell stories,S1.14
constructing,"building, repairing, installing and finishing interior and exterior structures",S1.14
cope with stress,accept challenges,S7.0
cope with stress,cope with pressures,T3.3
cope with stress,coping with pressure,T3.3
cope with stress,deal with pressure,T3.3
cope with stress,handle pressure,T3.3
cope with stress,manage pressure,T3.3
cope with stress,perform under pressure,T3.3
cope with stress,show mental resilience,T3.3
cope with stress,stay cool under pressure,T3.3
cope with stress,work under pressure,T3.3
cope with stress,cope with stress,T3.3
cope with uncertainty,deal with uncertainties,T3.3
cope with uncertainty,dealing with uncertainty,T3.3
cope with uncertainty,handle ambiguity,T3.3
cope with uncertainty,handle uncertainty,T3.3
cope with uncertainty,manage uncertainty,T3.3
cope with uncertainty,cope with uncertainty,T3.3
create digital content,create content in digital form,T3.3
create digital content,create digital content,T1.3
create digital content,edit digital content,T1.3
create digital content,produce digital content,T1.3
create digital content,digital marketing,T1.3
creating artistic designs or performances,"creating artistic, visual or instructive materials",T1.3
creating artistic designs or performances,creating visual displays and decorations,S1.12
creating artistic designs or performances,developing instructive or promotional materials,S1.12
creating artistic designs or performances,create flower arrangements,S1.12
creating artistic designs or performances,create sculptures,S1.12
creating artistic designs or performances,creating artistic designs or performances,S1.12
creating artistic designs or performances,decorate indoor or outdoor spaces,S1.12
creating artistic designs or performances,design a music show,S1.12
creating artistic designs or performances,design customised maps,S1.12
creating artistic designs or performances,design materials for multimedia campaigns,S1.12
creating artistic designs or performances,devise choreography,S1.12
creating artistic designs or performances,display merchandise,S1.12
creating artistic designs or performances,prepare lesson content,S1.12
creating artistic designs or performances,prepare presentation material,S1.12
creating artistic designs or performances,set up merchandise displays,S1.12
critically evaluate information and its sources,assess information,S1.12
critically evaluate information and its sources,check facts,T6.3
critically evaluate information and its sources,detect bias,T6.3
critically evaluate information and its sources,evaluate information,T6.3
critically evaluate information and its sources,understand the role of media in democratic societies,T6.3
critically evaluate information and its sources,verify information,T6.3
critically evaluate information and its sources,verify the source of information,T6.3
critically evaluate information and its sources,weigh information,T6.3
critically evaluate information and its sources,critically evaluate information and its sources,T6.3
delegate responsibilities,delegate,T6.3
delegate responsibilities,delegate activities,T4.4
delegate responsibilities,delegate activities to others,T4.4
delegate responsibilities,delegate tasks,T4.4
delegate responsibilities,distribute activities,T4.4
delegate responsibilities,distribute tasks,T4.4
delegate responsibilities,share duties,T4.4
delegate responsibilities,share tasks,T4.4
delegate responsibilities,delegate responsibilities,T4.4
demonstrate awareness of health risks,apply ergonomics,T4.4
demonstrate awareness of health risks,follow work-place safety regulations,T6.1
demonstrate awareness of health risks,know the effects of drugs and alcohol on individuals,T6.1
demonstrate awareness of health risks,manage health risk,T6.1
demonstrate awareness of health risks,meet health and safety requirements,T6.1
demonstrate awareness of health risks,work safely with hazardous material,T6.1
demonstrate awareness of health risks,demonstrate awareness of health risks,T6.1
demonstrate curiosity,be curious,T6.1
demonstrate curiosity,curiosity,T3.4
demonstrate curiosity,demonstrate curiosity,T3.4
demonstrate curiosity,demonstrate interest,T3.4
demonstrate curiosity,demonstrating curiosity,T3.4
demonstrate curiosity,display curiosity,T3.4
demonstrate curiosity,exhibit curiosity,T3.4
demonstrate curiosity,show curiosity,T3.4
demonstrate curiosity,show interest,T3.4
demonstrate curiosity,ask questions,T3.4
demonstrate intercultural competence,adapt to cultural differences,T3.4
demonstrate intercultural competence,consider different cultural backgrounds,T4.3
demonstrate intercultural competence,demonstrate cross-cultural competence,T4.3
demonstrate intercultural competence,demonstrate intercultural competence,T4.3
demonstrate intercultural competence,display intercultural competence,T4.3
demonstrate intercultural competence,exhibit intercultural competence,T4.3
demonstrate intercultural competence,respect different cultural backgrounds,T4.3
demonstrate intercultural competence,show cultural competence,T4.3
demonstrate intercultural competence,show intercultural competence,T4.3
demonstrate intercultural competence,use culturally appropriate body language,T4.3
demonstrate intercultural competence,social cultural awareness,T4.3
demonstrate loyalty,back company plan,T6.4
demonstrate loyalty,champion company plan,T4.5
demonstrate loyalty,follow organisation's vision,T4.5
demonstrate loyalty,show loyalty,T4.5
demonstrate loyalty,support company mission,T4.5
demonstrate loyalty,support company plan,T4.5
demonstrate loyalty,support plans of the company,T4.5
demonstrate loyalty,demonstrate loyalty,T4.5
demonstrate trustworthiness,be honest,T4.5
demonstrate trustworthiness,be trustworthy,T4.5
demonstrate trustworthiness,demonstrate trustworthiness,T4.5
demonstrate trustworthiness,establish trust,T4.5
demonstrate trustworthiness,show credibility,T4.5
demonstrate trustworthiness,build trust,T4.5
demonstrate willingness to learn,direct own learning,T4.5
demonstrate willingness to learn,display willingness to learn,T3.4
demonstrate willingness to learn,exhibit willingness to learn,T3.4
demonstrate willingness to learn,show self-knowledge,T3.4
demonstrate willingness to learn,show willingness to learn,T3.4
demonstrate willingness to learn,work towards own potential,T3.4
demonstrate willingness to learn,demonstrate willingness to learn,T3.4
"designing industrial materials, systems or products",designing electrical or electronic systems or equipment,T3.4
"designing industrial materials, systems or products",designing ict systems or applications,S1.11
"designing industrial materials, systems or products",designing structures or facilities,S1.11
"designing industrial materials, systems or products",designing systems and products,S1.11
"designing industrial materials, systems or products",developing recipes or menus,S1.11
"designing industrial materials, systems or products",compile cooking recipes,S1.11
"designing industrial materials, systems or products",create new enamels,S1.11
"designing industrial materials, systems or products",create new food products,S1.11
"designing industrial materials, systems or products",create new landscape designs,S1.11
"designing industrial materials, systems or products",define firmware,S1.11
"designing industrial materials, systems or products",design buildings,S1.11
"designing industrial materials, systems or products",design circuit boards,S1.11
"designing industrial materials, systems or products",design infrastructure for surface mines,S1.11
"designing industrial materials, systems or products",design microelectromechanical systems,S1.11
"designing industrial materials, systems or products",design pharmaceutical manufacturing systems,S1.11
"designing industrial materials, systems or products",design safety equipment,S1.11
"designing industrial materials, systems or products",design woven fabrics,S1.11
"designing industrial materials, systems or products","designing industrial materials, systems or products",S1.11
"designing industrial materials, systems or products",develop new confectionery products,S1.11
developing contingency and emergency response plans,developing educational programmes,S1.11
developing contingency and emergency response plans,"developing financial, business or marketing plans",S4.1
developing contingency and emergency response plans,developing health programmes,S4.1
developing contingency and emergency response plans,developing objectives and strategies,S4.1
developing contingency and emergency response plans,developing operational policies and procedures,S4.1
developing contingency and emergency response plans,developing policies and legislation,S4.1
developing contingency and emergency response plans,identifying opportunities,S4.1
developing contingency and emergency response plans,construct individual learning plans,S4.1
developing contingency and emergency response plans,create a financial plan,S4.1
developing contingency and emergency response plans,define organisational standards,S4.1
developing contingency and emergency response plans,develop advanced health promotion strategies,S4.1
developing contingency and emergency response plans,develop business case,S4.1
developing contingency and emergency response plans,develop curriculum,S4.1
developing contingency and emergency response plans,develop environmental policy,S4.1
developing contingency and emergency response plans,develop training programmes,S4.1
developing contingency and emergency response plans,developing contingency and emergency response plans,S4.1
developing contingency and emergency response plans,draw up marketing and sales plan,S4.1
developing contingency and emergency response plans,establish an ict customer support process,S4.1
developing contingency and emergency response plans,identify market niches,S4.1
developing contingency and emergency response plans,identify new business opportunities,S4.1
developing contingency and emergency response plans,identify process improvements,S4.1
developing contingency and emergency response plans,manage disaster recovery plans,S4.1
developing contingency and emergency response plans,plan public housing,S4.1
developing contingency and emergency response plans,plan railway incident mitigation measures,S4.1
developing contingency and emergency response plans,promote sport activities in public health,S4.1
disposing of non-hazardous waste or debris,handling and disposing of hazardous materials,S4.1
disposing of non-hazardous waste or debris,handling and disposing of waste and hazardous materials,S6.13
disposing of non-hazardous waste or debris,collect domestic waste,S6.13
disposing of non-hazardous waste or debris,disposing of non-hazardous waste or debris,S6.13
disposing of non-hazardous waste or debris,handle fish harvesting waste,S6.13
engage others in environment friendly behaviours,advocate sustainability,S6.13
engage others in environment friendly behaviours,encourage others to respect the environment,T6.2
engage others in environment friendly behaviours,engage others in environment friendly behaviours,T6.2
engage others in environment friendly behaviours,inform about sustainability,T6.2
engage others in environment friendly behaviours,promote environmental friendly behaviours,T6.2
engage others in environment friendly behaviours,promote sustainability,T6.2
engage others in environment friendly behaviours,environmental awareness,T6.2
ensuring compliance with legislation,being while using digital technologies,T6.2
ensuring compliance with legislation,complying with environmental protection laws and standards,S3.3
ensuring compliance with legislation,complying with health and safety procedures,S3.3
ensuring compliance with legislation,complying with operational procedures,S3.3
ensuring compliance with legislation,maintaining and enforcing physical security,S3.3
ensuring compliance with legislation,protecting and enforcing,S3.3
ensuring compliance with legislation,protecting privacy and personal data,S3.3
ensuring compliance with legislation,sustainable work practices,S3.3
ensuring compliance with legislation,verifying identities and documentation,S3.3
ensuring compliance with legislation,adhere to organisational guidelines,S3.3
ensuring compliance with legislation,apply immigration law,S3.3
ensuring compliance with legislation,apply socially just working principles,S3.3
ensuring compliance with legislation,check official documents,S3.3
ensuring compliance with legislation,check passenger tickets,S3.3
ensuring compliance with legislation,check tickets at venue entry,S3.3
ensuring compliance with legislation,conduct security screenings,S3.3
ensuring compliance with legislation,detain offenders,S3.3
ensuring compliance with legislation,ensure customs compliance,S3.3
ensuring compliance with legislation,ensure the privacy of guests,S3.3
ensuring compliance with legislation,ensuring compliance with legislation,S3.3
ensuring compliance with legislation,extinguish fires,S3.3
ensuring compliance with legislation,follow environmentally,S3.3
ensuring compliance with legislation,follow hygienic work practices,S3.3
ensuring compliance with legislation,implement environmental protection measures,T6.1
ensuring compliance with legislation,meet building regulations,S3.3
ensuring compliance with legislation,protect biodiversity,S3.3
ensuring compliance with legislation,protect health and well,S3.3
ensuring compliance with legislation,protect personal data and privacy,S3.3
ensuring compliance with legislation,rescue bathers,S3.3
ensuring compliance with legislation,safeguard online privacy and identity,S3.3
ensuring compliance with legislation,use personal protection equipment,S3.3
entering and transforming information,gathering information from physical or electronic sources,S3.3
entering and transforming information,processing information,S2.4
entering and transforming information,collect customer data,S2.4
entering and transforming information,entering and transforming information,S2.4
entering and transforming information,format documents,S2.4
entering and transforming information,gather reference materials,S2.4
entering and transforming information,input data into computers,S2.4
entering and transforming information,obtain financial information,S2.4
entering and transforming information,transcribe data,S2.4
